pr,issue,autor,base,abierto,mergeado,horas,archivos,agregadas,borradas,corridas_ci,fallas_ci,tokens,minutos_sesion,bitacora
212,,SantiagoBriz,dev,2026-09-01T21:09:57Z,2026-09-01T21:11:47Z,0.0,1,43,14,4,0,,,
213,,SantiagoBriz,dev,2026-09-01T22:00:43Z,2026-09-01T22:40:11Z,0.7,1,61,46,4,0,,,
204,182,AlanArevalo1,dev,2026-09-01T19:22:53Z,2026-09-02T01:02:19Z,5.7,7,342,6,18,2,,,docs/sesiones/2026-09-01-182-vocabulario-clasificador.md
214,187,AlanArevalo1,dev,2026-09-02T00:27:32Z,2026-09-02T00:40:09Z,0.2,10,268,2,8,0,,,docs/sesiones/2026-09-02-187-telegram-ingesta.md
215,188,AlanArevalo1,dev,2026-09-02T00:39:58Z,2026-09-02T00:57:33Z,0.3,2,52,8,8,0,,,docs/sesiones/2026-09-02-188-adr-telegram.md
217,190,AlanArevalo1,dev,2026-09-02T02:33:28Z,2026-09-02T02:57:17Z,0.4,7,317,10,6,0,,,docs/sesiones/2026-09-02-190-clasificacion-semilla.md
219,195,AlanArevalo1,dev,2026-09-02T03:08:14Z,2026-09-02T03:27:30Z,0.3,18,783,0,5,0,,,docs/sesiones/2026-09-02-194-eventos-lote.md
221,197,AlanArevalo1,dev,2026-09-02T11:48:36Z,2026-09-02T12:10:13Z,0.4,10,170,0,5,0,,,docs/sesiones/2026-09-02-197-corrida-produccion.md
216,189,AlanArevalo1,dev,2026-09-02T00:57:19Z,2026-09-02T15:54:09Z,14.9,5,480,5,8,0,,,docs/sesiones/2026-09-02-189-contribucion-marginal.md
218,194,AlanArevalo1,dev,2026-09-02T02:57:03Z,2026-09-02T16:44:29Z,13.8,0,0,0,11,0,,,
220,196,AlanArevalo1,dev,2026-09-02T03:27:18Z,2026-09-02T16:53:02Z,13.4,10,241,7,11,0,,,docs/sesiones/2026-09-02-196-deposito.md
222,200,AlanArevalo1,dev,2026-09-02T12:09:59Z,2026-09-02T16:15:53Z,4.1,8,130,0,8,0,,,docs/sesiones/2026-09-02-200-paquete-rubro.md
223,,SantiagoBriz,dev,2026-09-02T15:59:46Z,2026-09-02T16:10:28Z,0.2,2,62,2,4,0,,,
224,191,AlanArevalo1,dev,2026-09-02T17:01:57Z,2026-09-02T17:07:15Z,0.1,5,112,3,6,0,,,docs/sesiones/2026-09-02-191-punto-equilibrio.md
225,,SantiagoBriz,dev,2026-09-02T17:07:02Z,2026-09-02T17:47:18Z,0.7,1,108,9,7,0,,,
227,192,AlanArevalo1,dev,2026-09-02T17:47:03Z,2026-09-02T18:07:39Z,0.3,6,378,0,8,0,,30,docs/sesiones/2026-09-02-192-tablero-dueno.md
228,193,AlanArevalo1,dev,2026-09-02T18:07:26Z,2026-09-02T19:50:32Z,1.7,8,364,3,9,0,,,docs/sesiones/2026-09-02-193-alerta-punto-equilibrio.md
231,,SantiagoBriz,staging,2026-09-03T01:59:31Z,2026-09-03T02:01:27Z,0.0,100,5927,312,4,0,,30,docs/sesiones/2026-08-30-162-codigos-4xx-cost-structures.md
232,199,AlanArevalo1,dev,2026-09-03T11:40:25Z,2026-09-03T14:06:32Z,2.4,10,285,0,8,0,,,docs/sesiones/2026-09-03-199-ventas-variante.md
233,201,AlanArevalo1,dev,2026-09-04T00:50:53Z,2026-09-04T00:57:33Z,0.1,4,115,0,8,0,,,docs/sesiones/2026-09-03-201-paquete-avicola.md
